# AMS-02 positron fraction data. 
# Downloaded from http://prl.aps.org/supplemental/PRL/v110/i14/e141102
#
# Emin Emax Npositrons PFraction errstat. errvarious ... errsys
#
 0.50 0.65      822  0.0947  0.0034   0.0010  0.0016  0.0005  0.0002  0.0010  0.0022  
 0.65 0.81    3045  0.0919  0.0016   0.0007  0.0014  0.0007  0.0002  0.0008  0.0019  
 0.81 1.00    6504  0.0902  0.0011   0.0006  0.0012  0.0009  0.0002  0.0006  0.0017  
 1.00 1.21    9335  0.0842  0.0008   0.0005  0.0009  0.0008  0.0001  0.0005  0.0014  
 1.21 1.45   12621  0.0783  0.0007   0.0004  0.0007  0.0006  0.0001  0.0005  0.0011  
 1.45 1.70   15189  0.0735  0.0006   0.0003  0.0005  0.0004  0.0001  0.0003  0.0008  
 1.70 1.97   18400  0.0685  0.0005   0.0003  0.0005  0.0003  0.0001  0.0003  0.0007  
 1.97 2.28   23893  0.0642  0.0004   0.0002  0.0005  0.0002  0.0001  0.0002  0.0006  
 2.28 2.60   22455  0.0605  0.0004   0.0002  0.0005  0.0001  0.0001  0.0002  0.0006  
 2.60 2.94   21587  0.0583  0.0004   0.0001  0.0005  0.0001  0.0001  0.0002  0.0006  
 2.94 3.30   21158  0.0568  0.0004   0.0001  0.0004  0.0000  0.0001  0.0002  0.0005  
 3.30 3.70   20707  0.0550  0.0004   0.0001  0.0003  0.0000  0.0001  0.0002  0.0004  
 3.70 4.11   19429  0.0541  0.0004   0.0001  0.0002  0.0000  0.0001  0.0002  0.0003  
 4.11 4.54   18370  0.0533  0.0004   0.0001  0.0001  0.0000  0.0001  0.0002  0.0003  
 4.54 5.00   17064  0.0519  0.0004   0.0001  0.0001  0.0000  0.0001  0.0002  0.0003  
 5.00 5.50   16385  0.0512  0.0004   0.0001  0.0001  0.0000  0.0001  0.0002  0.0003  
 5.50 6.00   14244  0.0508  0.0004   0.0001  0.0000  0.0000  0.0001  0.0002  0.0002  
 6.00 6.56   13880  0.0501  0.0004   0.0001  0.0000  0.0000  0.0001  0.0002  0.0002  
 6.56 7.16   13153  0.0510  0.0004   0.0001  0.0000  0.0000  0.0001  0.0002  0.0002  
 7.16 7.80   11747  0.0504  0.0005   0.0001  0.0000  0.0000  0.0001  0.0002  0.0002  
 7.80 8.50   10910  0.0513  0.0005   0.0001  0.0000  0.0000  0.0001  0.0002  0.0002  
 8.50 9.21    9110  0.0510  0.0005   0.0001  0.0000  0.0000  0.0001  0.0002  0.0002  
 9.21 9.95    7501  0.0515  0.0006   0.0001  0.0000  0.0000  0.0001  0.0002  0.0002  
 9.95 10.73   7161  0.0519  0.0006   0.0001  0.0000  0.0000  0.0001  0.0002  0.0002  
10.73 11.54   6047  0.0528  0.0007   0.0001  0.0000  0.0000  0.0001  0.0001  0.0002  
11.54 12.39   5246  0.0535  0.0007   0.0001  0.0000  0.0000  0.0001  0.0001  0.0002  
12.39 13.27   4787  0.0549  0.0008   0.0001  0.0000  0.0000  0.0001  0.0001  0.0002  
13.27 14.19   4166  0.0551  0.0008   0.0001  0.0000  0.0000  0.0001  0.0001  0.0002  
14.19 15.15   3698  0.0543  0.0009   0.0001  0.0001  0.0000  0.0001  0.0001  0.0002  
15.15 16.15   3326  0.0556  0.0010   0.0001  0.0001  0.0000  0.0001  0.0001  0.0002  
16.15 17.18   3007  0.0583  0.0011   0.0001  0.0001  0.0000  0.0001  0.0002  0.0003  
17.18 18.25   2663  0.0586  0.0011   0.0001  0.0001  0.0000  0.0001  0.0002  0.0003  
18.25 19.37   2410  0.0592  0.0012   0.0001  0.0001  0.0000  0.0001  0.0002  0.0003  
19.37 20.54   2322  0.0634  0.0013   0.0001  0.0001  0.0000  0.0001  0.0002  0.0003  
20.54 21.76   2052  0.0618  0.0014   0.0001  0.0001  0.0000  0.0001  0.0002  0.0003  
21.76 23.07   1992  0.0653  0.0015   0.0001  0.0001  0.0000  0.0001  0.0002  0.0003  
23.07 24.45   1788  0.0651  0.0016   0.0001  0.0001  0.0000  0.0001  0.0002  0.0003  
24.45 25.87   1642  0.0657  0.0016   0.0001  0.0001  0.0000  0.0001  0.0002  0.0003  
25.87 27.34   1447  0.0668  0.0018   0.0001  0.0001  0.0000  0.0001  0.0003  0.0003  
