Table 9
Voyager 1 Intensities of Z > 2 Nuclei

Z	E_min	E_max	J	        sig		sys		Counts	TT	Z	E_min	E_max	J	        sig	        sys	        Counts	TT	
3	36.3	44.3	2.08e-03	4.77e-04	1.04e-04	20.0	3	12	8.3	14.9	3.21e-03	5.05e-04	1.61e-04	45.0	1	
3	44.3	56.3	2.66e-03	4.75e-04	1.33e-04	34.0	3	12	14.9	20.9	3.53e-03	5.56e-04	1.77e-04	45.0	1	
3	56.3	72.5	1.93e-03	3.71e-04	9.63e-05	29.0	3	12	30.0	53.0	4.18e-03	4.20e-04	2.09e-04	132.1	2	
3	72.5	88.3	2.38e-03	4.65e-04	1.19e-04	28.0	3	12	53.0	83.0	5.48e-03	4.66e-04	2.74e-04	210.6	2	
4	48.0	74.5	8.98e-04	1.82e-04	4.49e-05	26.0	3	12	83.0	118.0	5.63e-03	4.65e-04	2.81e-04	230.8	2	
4	74.5	117.2	1.20e-03	1.96e-04	5.99e-05	41.0	3	12	118.0	157.0	5.18e-03	4.48e-04	2.59e-04	201.1	2	
5	5.0	12.5	2.14e-03	3.81e-04	1.07e-04	34.0	1	12	82.8	100.5	5.52e-03	5.83e-04	2.76e-04	116.0	3	
5	17.0	31.0	4.03e-03	5.00e-04	2.01e-04	77.5	2	12	100.5	129.6	6.11e-03	5.44e-04	3.05e-04	184.0	3	
5	31.0	48.0	4.28e-03	4.85e-04	2.14e-04	96.8	2	12	129.6	165.6	5.41e-03	4.90e-04	2.70e-04	175.0	3	
5	48.0	68.0	5.95e-03	5.84e-04	2.98e-04	140.2	2	12	165.6	203.3	5.03e-03	5.02e-04	2.51e-04	134.0	3	
5	68.0	92.0	5.24e-03	5.38e-04	2.62e-04	124.8	2	13	8.3	21.5	4.28e-04	1.25e-04	2.14e-05	12.0	1	
5	46.1	58.0	5.54e-03	6.82e-04	2.77e-04	79.0	3	13	31.0	54.0	1.01e-03	1.86e-04	5.05e-05	31.8	2	
5	58.0	74.2	5.57e-03	6.35e-04	2.78e-04	95.0	3	13	54.0	85.0	8.33e-04	1.48e-04	4.17e-05	34.1	2	
5	74.2	95.0	5.90e-03	6.28e-04	2.95e-04	113.0	3	13	85.0	121.0	7.51e-04	1.39e-04	3.75e-05	31.4	2	
